Date,New Cases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
08-03-2020,0.0,0.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,32.0,31.0,27.0,27.0,29.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0,17.0,18.0,23.0,25.0,22.0
09-03-2020,0.0,0.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,32.0,31.0,27.0,27.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0,17.0,18.0,23.0,25.0
10-03-2020,0.0,0.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,32.0,31.0,27.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0,17.0,18.0,23.0
11-03-2020,0.0,0.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,32.0,31.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0,17.0,18.0
12-03-2020,0.0,0.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,32.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0,17.0
13-03-2020,0.0,0.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,31.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0,20.0
14-03-2020,0.0,0.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,29.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0,30.0
15-03-2020,0.0,0.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,29.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0,35.0
16-03-2020,0.0,0.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,30.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0,30.0
17-03-2020,0.0,0.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,30.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0,45.0
18-03-2020,0.0,0.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,28.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0,46.0
19-03-2020,0.0,0.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,28.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0,48.0
20-03-2020,2.0,0.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,26.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0,54.0
21-03-2020,1.0,0.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,27.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0,27.0
22-03-2020,0.0,0.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0,23.0
23-03-2020,4.0,0.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,28.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0,35.0
24-03-2020,0.0,0.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,27.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0,55.0
25-03-2020,0.0,1.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,26.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0,51.0
26-03-2020,0.0,1.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,25.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0,38.0
27-03-2020,0.0,1.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0,33.0
28-03-2020,2.0,1.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,25.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0,16.0
29-03-2020,0.0,1.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,28.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0,16.0
30-03-2020,0.0,1.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,31.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0,15.0
31-03-2020,0.0,1.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0,16.0
01-04-2020,0.0,1.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0,19.0
02-04-2020,0.0,1.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,32.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0,29.0
03-04-2020,0.0,1.0,34.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,30.0,17.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0,36.0
04-04-2020,0.0,1.0,38.0,34.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,31.0,16.0,17.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0,46.0
05-04-2020,1.0,1.0,38.0,38.0,34.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,31.0,25.0,16.0,17.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0,43.0
06-04-2020,2.0,1.0,36.0,38.0,38.0,34.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,32.0,24.0,25.0,16.0,17.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0,31.0
07-04-2020,0.0,1.0,33.0,36.0,38.0,38.0,34.0,33.0,32.0,32.0,33.0,32.0,32.0,30.0,32.0,32.0,34.0,34.0,24.0,25.0,16.0,17.0,18.0,26.0,24.0,15.0,19.0,24.0,40.0,39.0,24.0,23.0
